Open,High,Low,Close,Adj Close,Volume
54.999000549316406,55.34600067138672,53.560001373291016,54.821998596191406,54.81492614746094,596759000
55.018001556396484,56.834999084472656,54.900001525878906,56.38199996948242,56.374725341796875,449580000
60.959999084472656,61.78300094604492,60.573001861572266,61.03099822998047,61.02312469482422,390309000
61.439998626708984,62.26900100708008,60.70000076293945,61.527000427246094,61.51905822753906,453795000
68.2249984741211,69.49700164794922,67.20500183105469,69.33200073242188,69.32305908203125,680078000
73.86900329589844,73.9749984741211,72.4000015258789,72.65799713134766,72.64862060546875,420122000
71.9469985961914,71.95600128173828,67.73400115966797,69.4520034790039,69.44303894042969,704833000
80.0,82.30000305175781,79.43499755859375,82.27899932861328,82.26837921142578,479135000
88.02200317382812,89.7239990234375,87.02999877929688,88.69999694824219,88.69271087646484,582520000
86.42900085449219,88.7969970703125,84.16600036621094,85.77400207519531,85.76696014404297,678364000
92.30000305175781,92.64800262451172,90.40499877929688,91.43499755859375,91.427490234375,480372000
95.85099792480469,96.375,92.50199890136719,92.56099700927734,92.55339813232422,513648000
86.86599731445312,88.48100280761719,85.9260025024414,88.00800323486328,88.00077819824219,399678000
83.9260025024414,87.4000015258789,83.70899963378906,87.03900146484375,87.03185272216797,431929000
89.0979995727539,90.61299896240234,85.92900085449219,86.0009994506836,85.99393463134766,443077000
78.86799621582031,83.322998046875,78.2229995727539,82.63200378417969,82.62521362304688,424641000
87.23999786376953,88.81900024414062,86.30000305175781,86.4020004272461,86.39490509033203,363709000
90.30500030517578,91.4010009765625,89.22699737548828,89.87799835205078,89.87061309814453,335325000
92.47200012207031,94.86199951171875,91.5989990234375,94.62999725341797,94.62222290039062,417735000
93.75,95.19999694824219,93.44000244140625,94.77999877929688,94.772216796875,318764000
114.6500015258789,115.81900024414062,109.66300201416016,110.5,110.49092102050781,487350000
115.71600341796875,116.5999984741211,114.04499816894531,116.43699645996094,116.42742919921875,403324000
129.9600067138672,132.83999633789062,128.32000732421875,131.8800048828125,131.8800048828125,309320400
123.23999786376953,124.45999908447266,118.04000091552734,118.11000061035156,118.11000061035156,476060900
130.35000610351562,133.82000732421875,128.64999389648438,131.3800048828125,131.3800048828125,285366600
