Open,High,Low,Close,Adj Close,Volume
186.5399932861328,187.0500030517578,183.6199951171875,185.58999633789062,185.1024169921875,49128400
182.16000366210938,184.25999450683594,180.92999267578125,183.6300048828125,183.14756774902344,65603000
194.27000427246094,194.75999450683594,191.94000244140625,192.4199981689453,191.9144744873047,44594000
187.0399932861328,187.10000610351562,184.35000610351562,184.39999389648438,183.91554260253906,55467800
188.14999389648438,189.25,185.83999633789062,187.67999267578125,187.18692016601562,69668800
183.5500030517578,184.49000549316406,181.35000610351562,183.86000061035156,183.6109619140625,65434500
181.7899932861328,182.42999267578125,180.0,181.55999755859375,181.31407165527344,53665600
179.5500030517578,180.52999877929688,177.3800048828125,179.66000366210938,179.41665649414062,73488000
171.05999755859375,171.24000549316406,168.67999267578125,169.1199951171875,168.8909149169922,68587700
172.94000244140625,174.3800048828125,172.0500030517578,172.75,172.51600646972656,60139500
177.0500030517578,177.49000549316406,170.83999633789062,171.3699951171875,171.13787841796875,106181300
170.0,171.4199981689453,169.5800018310547,169.7100067138672,169.48013305664062,57388400
169.58999633789062,170.38999938964844,168.9499969482422,169.5800018310547,169.3502960205078,42055200
168.8000030517578,169.08999633789062,167.11000061035156,167.77999877929688,167.552734375,49709300
175.36000061035156,176.6300048828125,172.5,172.69000244140625,172.45608520507812,73531800
169.52999877929688,170.61000061035156,168.14999389648438,169.88999938964844,169.65988159179688,50558300
173.3300018310547,174.99000549316406,170.0,170.3300018310547,170.0992889404297,65934800
184.89999389648438,185.08999633789062,182.1300048828125,183.0500030517578,183.0500030517578,50759500
187.91000366210938,190.64999389648438,187.3699951171875,189.72000122070312,189.72000122070312,70400000
189.3300018310547,191.9199981689453,189.00999450683594,191.0399932861328,191.0399932861328,44361300
190.75999450683594,192.17999267578125,190.6300048828125,191.2899932861328,191.2899932861328,49947900
194.63999938964844,195.32000732421875,193.02999877929688,194.35000610351562,194.35000610351562,47471400
213.85000610351562,215.1699981689453,211.3000030517578,212.49000549316406,212.49000549316406,70122700
207.72000122070312,212.6999969482422,206.58999633789062,208.13999938964844,208.13999938964844,80727000
227.92999267578125,229.39999389648438,226.3699951171875,228.67999267578125,228.67999267578125,48076100
